"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.1,10,3,"NNI",0.0919718990467548,0.205384653543014,34.9040973657312
1000,0.1,10,4,"NN",0.100861897606946,0.258123760243792,79.8217853325707
1000,0.1,10,4,"EWMA",0.0372467319090986,0.186892713417379,49.054255699437
1000,0.1,10,4,"LI",0.0291785514555935,0.186751778702303,52.0737583152105
1000,0.1,10,4,"KAF",0.161529884855131,0.23335416499724,44.8110275300907
1000,0.1,10,4,"RMEA",0.0460504611611595,0.197221646534163,63.6531219755291
1000,0.1,10,4,"NNI",0.00170448284965065,0.176137165097621,46.484000072504
1000,0.1,10,5,"NN",0.0183901801126366,0.254444199687453,109.745891693702
1000,0.1,10,5,"EWMA",0.0255322382593415,0.210049542692757,104.125253039997
1000,0.1,10,5,"LI",0.0257679670445471,0.230177977114197,113.033644350366
1000,0.1,10,5,"KAF",0.521032810016861,0.550847979731679,109.955745837737
1000,0.1,10,5,"RMEA",0.0124964652466359,0.178274863863491,89.1148722801897
1000,0.1,10,5,"NNI",0.135521229586018,0.25453767778902,140.874154339143
1000,0.1,10,6,"NN",0.00388165528338205,0.185030754013227,43.4383849008567
1000,0.1,10,6,"EWMA",0.011491497493196,0.172484815220263,43.0067181328607
1000,0.1,10,6,"LI",0.0138905627623191,0.170052788840505,42.5168958656259
1000,0.1,10,6,"KAF",0.531222158547197,0.563782116392149,112.807999976944
1000,0.1,10,6,"RMEA",0.00241976549756328,0.155225462113548,39.8916610907389
1000,0.1,10,6,"NNI",0.0222147668083838,0.151942342681734,38.7191594370353
1000,0.1,10,7,"NN",0.0409283734327472,0.198805407072211,32.9727560980182
1000,0.1,10,7,"EWMA",0.0139974141472349,0.170201227641399,30.13454435614
1000,0.1,10,7,"LI",0.00958405014940257,0.178221805545442,30.8508935734517
1000,0.1,10,7,"KAF",0.538330989866454,0.550325500380586,102.295076199176
1000,0.1,10,7,"RMEA",0.0035700987232901,0.138184493626906,24.3529616310226
